id,timestamp,sensor,sensor_public,sensor_type_name,sensor_manufacturer,software_version,location_id,location_traffic,location_industry,location_oven,latitude,longitude,altitude,city,country,humidity,temperature,P2,P1,P0,hour,day_of_week,is_weekend
84664671,2025-06-20T15:33:49.888370+00:00,4901,True,DHT22,various,,3967,5,1,5,-1.30896600000,36.81190100000,5.00000000,Nairobi,Kenya,99.9,15.6,,,,15,4,0
84664586,2025-06-20T15:29:17.098699+00:00,4901,True,DHT22,various,NRZ-2020-129,3967,5,1,5,-1.30896600000,36.81190100000,5.00000000,Nairobi,Kenya,99.9,15.2,,,,15,4,0
84664579,2025-06-20T15:28:49.998396+00:00,4900,True,pms5003,PlanTower,NRZ-2020-129,3967,5,1,5,-1.30896600000,36.81190100000,5.00000000,Nairobi,Kenya,,,5.2,5.2,5.2,15,4,0
84664671,2025-06-20T15:33:49.888370+00:00,4901,True,DHT22,various,,3967,5,1,5,-1.30896600000,36.81190100000,5.00000000,Nairobi,Kenya,99.9,15.6,,,,15,4,0
84664586,2025-06-20T15:29:17.098699+00:00,4901,True,DHT22,various,NRZ-2020-129,3967,5,1,5,-1.30896600000,36.81190100000,5.00000000,Nairobi,Kenya,99.9,15.2,,,,15,4,0
84664579,2025-06-20T15:28:49.998396+00:00,4900,True,pms5003,PlanTower,NRZ-2020-129,3967,5,1,5,-1.30896600000,36.81190100000,5.00000000,Nairobi,Kenya,,,5.2,5.2,5.2,15,4,0
84664671,2025-06-20T15:33:49.888370+00:00,4901,True,DHT22,various,,3967,5,1,5,-1.30896600000,36.81190100000,5.00000000,Nairobi,Kenya,99.9,15.6,,,,15,4,0
84664586,2025-06-20T15:29:17.098699+00:00,4901,True,DHT22,various,NRZ-2020-129,3967,5,1,5,-1.30896600000,36.81190100000,5.00000000,Nairobi,Kenya,99.9,15.2,,,,15,4,0
84664579,2025-06-20T15:28:49.998396+00:00,4900,True,pms5003,PlanTower,NRZ-2020-129,3967,5,1,5,-1.30896600000,36.81190100000,5.00000000,Nairobi,Kenya,,,5.2,5.2,5.2,15,4,0
84664671,2025-06-20T15:33:49.888370+00:00,4901,True,DHT22,various,,3967,5,1,5,-1.30896600000,36.81190100000,5.00000000,Nairobi,Kenya,99.9,15.6,,,,15,4,0
84664586,2025-06-20T15:29:17.098699+00:00,4901,True,DHT22,various,NRZ-2020-129,3967,5,1,5,-1.30896600000,36.81190100000,5.00000000,Nairobi,Kenya,99.9,15.2,,,,15,4,0
84664579,2025-06-20T15:28:49.998396+00:00,4900,True,pms5003,PlanTower,NRZ-2020-129,3967,5,1,5,-1.30896600000,36.81190100000,5.00000000,Nairobi,Kenya,,,5.2,5.2,5.2,15,4,0
84664671,2025-06-20T15:33:49.888370+00:00,4901,True,DHT22,various,,3967,5,1,5,-1.30896600000,36.81190100000,5.00000000,Nairobi,Kenya,99.9,15.6,,,,15,4,0
84664586,2025-06-20T15:29:17.098699+00:00,4901,True,DHT22,various,NRZ-2020-129,3967,5,1,5,-1.30896600000,36.81190100000,5.00000000,Nairobi,Kenya,99.9,15.2,,,,15,4,0
84664579,2025-06-20T15:28:49.998396+00:00,4900,True,pms5003,PlanTower,NRZ-2020-129,3967,5,1,5,-1.30896600000,36.81190100000,5.00000000,Nairobi,Kenya,,,5.2,5.2,5.2,15,4,0
84664671,2025-06-20T15:33:49.888370+00:00,4901,True,DHT22,various,,3967,5,1,5,-1.30896600000,36.81190100000,5.00000000,Nairobi,Kenya,99.9,15.6,,,,15,4,0
84664586,2025-06-20T15:29:17.098699+00:00,4901,True,DHT22,various,NRZ-2020-129,3967,5,1,5,-1.30896600000,36.81190100000,5.00000000,Nairobi,Kenya,99.9,15.2,,,,15,4,0
84664579,2025-06-20T15:28:49.998396+00:00,4900,True,pms5003,PlanTower,NRZ-2020-129,3967,5,1,5,-1.30896600000,36.81190100000,5.00000000,Nairobi,Kenya,,,5.2,5.2,5.2,15,4,0
84664671,2025-06-20T15:33:49.888370+00:00,4901,True,DHT22,various,,3967,5,1,5,-1.30896600000,36.81190100000,5.00000000,Nairobi,Kenya,99.9,15.6,,,,15,4,0
84664586,2025-06-20T15:29:17.098699+00:00,4901,True,DHT22,various,NRZ-2020-129,3967,5,1,5,-1.30896600000,36.81190100000,5.00000000,Nairobi,Kenya,99.9,15.2,,,,15,4,0
